视频链接,视频名称,总播放数,历史累计弹幕数,上传时间,点赞数,投币数,收藏数,转发数,标签
https://www.bilibili.com/video/BV1L24y1P78r?from=search,【考研记录】总有人要上岸，为什么不能是我呢？,48200,26,2023-06-01 23:08:01,5562,996,2563,268,"起风了,考研,知识,校园学习,考研励志视频,上岸,考研记录"
https://www.bilibili.com/video/BV1ik4y1x7ba?from=search,一个疑问：今年是没人考研了吗？,258080,217,2023-05-25 11:12:25,2476,177,754,201,"24考研,高考,考试,知识,校园学习,上岸,热度,就业,卷,考研形势"
https://www.bilibili.com/video/BV1bm4y1S7zf?from=search,【张雪峰】考研340分是什么水平？,1106250,249,2022-01-22 17:59:21,9845,190,1297,946,"考研,考试,搞笑,知识,校园学习,大学,教育,张雪峰"
https://www.bilibili.com/video/BV1XR4y1c7hc?from=search,学霸也不一定知道：越早摆脱“学生思维”，人生越快“如鱼得水”。求学/考研/升职/加薪！,495050,2705,2022-05-18 11:08:17,3.5万,1.6万,2.1万,1939,"学习帮帮团,高考,考研,职场,考试,知识,校园学习,知识,经验分享,个人成长,校园学习,思维提升"
https://www.bilibili.com/video/BV1Rh411b7UE?from=search,张雪峰：考研跨专业怎么面对复试面试？,1259537,367,2021-10-30 15:10:46,11.3万,578,1.2万,718,"知识分享官,必剪创作,知识,校园学习,复试,张雪峰,打卡挑战"
https://www.bilibili.com/video/BV16x4y1c78A?from=search,上了一辈子学，没考上211/985。 希望考研失利的你，能看到这个视频,432843,1244,2023-02-19 12:05:00,2.1万,7066,9096,2226,"校园唠嗑会,高考,考研,知识,校园学习,大学,生活记录,校园,焦虑,考研失利,校园星发现·up！开学啦"
https://www.bilibili.com/video/BV1Mv4y1a7fi?from=search,考研数二148 备考总结,52083,37,2023-03-06 16:01:30,3158,950,4330,355,"考研人哪有不疯的,考研,必剪创作,知识,校园学习,数学,经验分享,学习心得,校园星发现·up！开学啦"
https://www.bilibili.com/video/BV1Kr4y1Y7dL?from=search,大一大二开始准备考研，卷吗？（提升竞争力的干货,246803,77,2022-01-31 14:11:37,9443,1852,1.3万,775,"知识分享官,考研,知识,校园学习,大学,经验分享,干货,考研复习"
https://www.bilibili.com/video/BV1go4y1W7xG?from=search,考研各专业400分现状，太卷了！,138870,158,2023-04-02 11:30:00,3454,64,260,540,"一起上岸吧,考研,知识,校园学习,考研词汇闪过,23考研,24考研,24考研必买书单,考研调剂,考研专业,一起上岸吧！"
https://www.bilibili.com/video/BV1fo4y187Mj?from=search,二战top985上岸之后发现了考研的生意经，为弱势的考研人难过,86411,42,2023-04-17 15:38:00,4819,853,3823,134,"考研心情实录,考研,知识,校园学习,二战,上岸,经验分享"
https://www.bilibili.com/video/BV1Ts4y1p7gN?from=search,这样的寄宿考研自习室，是你想象中的样子吗？,194113,426,2023-03-18 15:18:42,1534,680,402,781,"一起上岸吧,考研,知识,校园学习,寄宿考研,考研自习室,一起上岸吧！"
https://www.bilibili.com/video/BV1ND4y177g6?from=search,写给考研期间一直坐在我对面的那个男孩子,736546,2682,2022-12-31 18:30:22,5.3万,2.1万,1.5万,9873,"所爱隔山海,考研,知识,校园学习,大学"
https://www.bilibili.com/video/BV1gP411T7n2?from=search,我奋斗了18年，学不进去了，就来看看，很多考研党靠这个续命,418321,319,2022-12-11 22:17:10,1.8万,1552,1.6万,1656,"StartOver,考研,知识,校园学习,正能量,大学,张宇,坚持,徐涛,汤家凤,刘晓燕"
https://www.bilibili.com/video/BV1oY4y1F7V2?from=search,回家考研，结果对男人上头了,2336202,7323,2022-08-07 18:31:44,4.7万,6734,9577,1.1万,"考研,生活,搞笑,帅哥,恋爱,大学生,相亲,夏日奇遇记"
https://www.bilibili.com/video/BV1KT411b7Ui?from=search,张雪峰，国家最新政策，2023年不准考研了，人才过剩了。,551210,2783,2023-05-20 09:55:10,4836,117,1451,478,"是老师，也是UP主！,知识,校园学习"
